Name of Song,Group,Gender,Duration (MS),Key,Mode,Time Signature,Acousticness,Danceability,Energy,Instrumentalness,Liveness,Loudness,Speechiness,Valence,Tempo,Popularity
DOPE‐超ヤベー!‐(Japanese Ver.),BTS,M,241973.0,10.0,0.0,4.0,0.0285,0.579,0.897,0.0,0.43,-3.566,0.212,0.545,154.002,37.0
Good Day,BTS,M,267507.0,6.0,1.0,4.0,0.0106,0.611,0.89,0.0,0.075,-3.711,0.0451,0.665,94.956,41.0
Save ME‐Japanese Ver.‐,BTS,M,199667.0,1.0,1.0,4.0,0.0498,0.623,0.804,0.0,0.0903,-3.705,0.0735,0.394,140.077,41.0
フンタン少年団(Japanese Ver.),BTS,M,245880.0,1.0,1.0,4.0,0.0537,0.69,0.962,0.0,0.347,-3.66,0.199,0.77,116.029,37.0
ペップセ‐Japanese Ver.‐,BTS,M,236293.0,9.0,1.0,4.0,0.000955,0.669,0.885,0.0,0.0398,-3.622,0.118,0.544,166.967,38.0
Wishing on a star,BTS,M,271760.0,8.0,1.0,4.0,0.0168,0.543,0.832,0.0,0.0398,-4.717,0.209,0.636,179.963,39.0
Butterfly‐Japanese Ver.‐,BTS,M,240680.0,1.0,1.0,4.0,0.025,0.319,0.785,0.0,0.074,-4.549,0.0674,0.231,149.027,40.0
FOR YOU,BTS,M,284587.0,4.0,1.0,4.0,0.44,0.548,0.809,0.0,0.102,-4.533,0.185,0.574,165.892,45.0
I NEED U(Japanese Ver.),BTS,M,212200.0,5.0,0.0,4.0,0.0147,0.497,0.866,0.0,0.161,-4.02,0.0681,0.732,158.049,41.0
EPILOGUE : Young Forever‐Japanese Ver.‐,BTS,M,173347.0,5.0,0.0,4.0,0.0221,0.461,0.76,0.0,0.104,-4.299,0.236,0.349,87.434,36.0
Intro : The Most Beautiful Moment In Life,BTS,M,124733.0,0.0,0.0,4.0,0.2,0.545,0.969,0.0,0.0767,-3.553,0.391,0.229,93.361,22.0
I Need U,BTS,M,210693.0,5.0,0.0,4.0,0.0217,0.46,0.897,0.0,0.287,-2.364,0.0934,0.651,158.107,35.0
Hold Me Tight,BTS,M,273880.0,6.0,1.0,4.0,0.0164,0.627,0.794,2.75e-06,0.19,-4.653,0.277,0.396,139.964,31.0
Autumn Leaves,BTS,M,267147.0,10.0,0.0,4.0,0.0104,0.621,0.799,0.0,0.135,-3.569,0.0422,0.313,105.008,29.0
Butterfly - Prologue Mix,BTS,M,295133.0,6.0,1.0,4.0,0.0548,0.397,0.542,0.00134,0.0935,-6.446,0.0408,0.13,149.652,35.0
Run,BTS,M,236333.0,11.0,0.0,4.0,0.0016,0.576,0.875,0.0,0.103,-2.933,0.054,0.508,132.964,34.0
Ma City,BTS,M,256840.0,6.0,0.0,4.0,0.000216,0.677,0.97,0.0,0.054,-2.142,0.0931,0.799,122.004,29.0
Silver Spoon,BTS,M,233173.0,9.0,1.0,4.0,0.000946,0.651,0.877,0.0,0.0448,-2.878,0.0689,0.557,166.904,30.0
Dope,BTS,M,240027.0,10.0,0.0,4.0,0.0318,0.56,0.892,2.82e-06,0.455,-2.79,0.293,0.657,153.951,35.0
Fire,BTS,M,203347.0,11.0,1.0,4.0,0.0025,0.628,0.718,0.0,0.145,-3.167,0.0886,0.507,100.005,52.0
Save Me,BTS,M,196533.0,1.0,1.0,4.0,0.0328,0.614,0.797,0.0,0.0713,-3.431,0.0599,0.518,139.966,52.0
Epilogue : Young Forever,BTS,M,171787.0,5.0,0.0,4.0,0.0435,0.61,0.822,0.0,0.122,-3.831,0.26,0.378,87.967,42.0
Converse High,BTS,M,210213.0,1.0,1.0,4.0,0.0243,0.718,0.799,0.0,0.0842,-3.639,0.102,0.798,98.001,30.0
Moving On,BTS,M,292547.0,0.0,1.0,4.0,0.00225,0.67,0.925,1.12e-05,0.058,-2.545,0.156,0.931,159.982,27.0
Whalien 52,BTS,M,243600.0,10.0,0.0,4.0,0.0895,0.578,0.938,1.03e-05,0.348,-2.533,0.273,0.745,90.01,31.0
Butterfly,BTS,M,240000.0,6.0,1.0,4.0,0.0106,0.448,0.765,0.0,0.115,-4.55,0.0525,0.274,149.886,33.0
House Of Cards - Full Length Edition,BTS,M,226267.0,9.0,0.0,4.0,0.351,0.388,0.672,0.0,0.14,-4.459,0.0474,0.389,103.441,38.0
Love Is Not Over - Full Length Edition,BTS,M,221573.0,4.0,0.0,4.0,0.121,0.691,0.591,0.0,0.139,-5.075,0.0685,0.275,105.074,39.0
I Need U - Urban Mix,BTS,M,216480.0,5.0,0.0,4.0,0.106,0.545,0.813,0.0,0.132,-3.593,0.0734,0.558,147.95,30.0
I Need U - Remix,BTS,M,223920.0,5.0,0.0,4.0,0.00307,0.547,0.919,1.49e-06,0.426,-2.817,0.204,0.541,79.034,28.0
Run - Ballad Mix,BTS,M,254813.0,6.0,0.0,4.0,0.0343,0.572,0.772,0.0,0.371,-3.195,0.0374,0.591,127.984,30.0
Run - Alternative Mix,BTS,M,236413.0,6.0,0.0,4.0,0.000158,0.591,0.875,5.96e-05,0.33,-3.072,0.0329,0.547,132.964,28.0
Butterfly - Alternative Mix,BTS,M,240760.0,1.0,1.0,4.0,0.00567,0.346,0.714,0.0,0.138,-4.623,0.0489,0.241,148.688,29.0
Intro: The Most Beautiful Moment in Life,BTS,M,124739.0,7.0,0.0,4.0,0.203,0.498,0.97,0.0,0.0692,-3.513,0.444,0.229,92.54,53.0
I Need U,BTS,M,210577.0,5.0,0.0,4.0,0.0184,0.475,0.897,0.0,0.296,-2.383,0.0736,0.642,78.918,71.0
Hold Me Tight,BTS,M,273992.0,6.0,1.0,4.0,0.0154,0.636,0.799,3.95e-06,0.218,-4.671,0.257,0.379,139.953,65.0
Autumn Leaves,BTS,M,267151.0,6.0,1.0,4.0,0.0107,0.394,0.799,0.0,0.144,-3.54,0.0914,0.297,104.999,64.0
Butterfly (Prologue Mix),BTS,M,295128.0,6.0,1.0,4.0,0.0446,0.377,0.541,0.001,0.0909,-6.451,0.0487,0.135,74.341,59.0
Run,BTS,M,236334.0,6.0,0.0,4.0,0.00165,0.577,0.875,0.0,0.0892,-2.944,0.0445,0.522,132.943,69.0
Ma City,BTS,M,256840.0,6.0,0.0,4.0,0.000267,0.678,0.97,0.0,0.0548,-2.155,0.0989,0.783,122.017,57.0
Silver Spoon,BTS,M,233185.0,9.0,1.0,4.0,0.00128,0.649,0.875,0.0,0.0486,-2.88,0.0696,0.557,166.927,68.0
Dope,BTS,M,240021.0,10.0,0.0,4.0,0.0272,0.579,0.896,1.02e-06,0.352,-2.781,0.224,0.678,153.991,70.0
Burning Up (Fire),BTS,M,203352.0,10.0,0.0,4.0,0.00227,0.627,0.706,0.0,0.122,-3.201,0.0597,0.536,99.93,73.0
Save Me,BTS,M,196506.0,1.0,1.0,4.0,0.0269,0.614,0.823,0.0,0.0783,-3.48,0.062,0.539,139.948,73.0
Epilogue: Young Forever,BTS,M,171803.0,5.0,0.0,4.0,0.04,0.606,0.815,0.0,0.119,-3.818,0.231,0.386,88.062,67.0
Converse High,BTS,M,210222.0,1.0,1.0,4.0,0.0245,0.72,0.803,0.0,0.2,-3.67,0.0956,0.804,97.991,59.0
Moving On,BTS,M,292519.0,0.0,1.0,4.0,0.00223,0.68,0.926,1.02e-05,0.0905,-2.551,0.164,0.935,159.97,54.0
Whalien 52,BTS,M,243553.0,10.0,0.0,4.0,0.0858,0.572,0.937,1.61e-05,0.342,-2.569,0.278,0.77,90.021,56.0
Butterfly,BTS,M,240091.0,6.0,1.0,4.0,0.0107,0.441,0.747,0.0,0.101,-4.583,0.0498,0.278,149.771,59.0
House of Cards (Full Length Edition),BTS,M,226212.0,2.0,0.0,4.0,0.334,0.367,0.67,0.0,0.147,-4.485,0.0517,0.386,104.96,67.0
Love Is Not Over (Full Length Edition),BTS,M,221620.0,2.0,1.0,4.0,0.124,0.462,0.577,0.0,0.127,-5.089,0.0846,0.278,102.972,62.0
I Need U (Urban Mix),BTS,M,215189.0,5.0,0.0,4.0,0.11,0.56,0.814,0.0,0.188,-3.603,0.0682,0.534,74.01,55.0
I Need U (Remix),BTS,M,223013.0,5.0,0.0,4.0,0.00258,0.518,0.918,3.46e-06,0.448,-2.843,0.207,0.494,158.059,51.0
Run (Ballad Mix),BTS,M,257000.0,6.0,0.0,4.0,0.0309,0.568,0.774,0.0,0.379,-3.188,0.036,0.595,128.013,56.0
Run (Alternative Mix),BTS,M,236437.0,6.0,0.0,4.0,0.000182,0.594,0.871,4.01e-05,0.371,-3.085,0.0321,0.58,132.994,51.0
Butterfly (Alternative Mix),BTS,M,241144.0,6.0,1.0,4.0,0.00658,0.345,0.717,0.0,0.149,-4.6,0.0481,0.211,149.542,52.0
Intro: Never Mind,BTS,M,136427.0,6.0,0.0,4.0,0.00765,0.349,0.949,0.0,0.329,-4.942,0.902,0.397,79.942,31.0
Run,BTS,M,236747.0,6.0,0.0,4.0,0.00158,0.571,0.877,0.0,0.1,-3.019,0.0483,0.506,132.938,50.0
Butterfly,BTS,M,238853.0,6.0,1.0,4.0,0.0151,0.429,0.775,0.0,0.124,-4.518,0.0577,0.283,149.618,49.0
Whalien 52,BTS,M,243227.0,1.0,1.0,4.0,0.104,0.58,0.93,6.1e-06,0.337,-2.7,0.282,0.719,90.063,41.0
Ma City,BTS,M,256693.0,6.0,0.0,4.0,0.000279,0.671,0.969,0.0,0.0808,-2.218,0.0879,0.808,122.012,39.0
Silver Spoon,BTS,M,233160.0,9.0,1.0,4.0,0.00119,0.651,0.88,0.0,0.0467,-2.869,0.0649,0.544,166.93,47.0
Skit: One Night In A Strange City,BTS,M,263120.0,5.0,1.0,4.0,0.79,0.598,0.501,0.0,0.417,-11.591,0.933,0.698,81.422,24.0
Autumn Leaves,BTS,M,267160.0,10.0,0.0,4.0,0.0152,0.617,0.803,0.0,0.152,-3.339,0.0425,0.314,105.04,46.0
Outro: House Of Cards,BTS,M,177440.0,9.0,0.0,4.0,0.37,0.568,0.653,0.0,0.127,-4.694,0.0347,0.31,104.996,33.0
Intro: Never Mind,BTS,M,136428.0,6.0,0.0,4.0,0.00765,0.349,0.949,0.0,0.329,-4.942,0.902,0.397,79.942,56.0
Run,BTS,M,236748.0,11.0,0.0,4.0,0.00146,0.554,0.878,0.0,0.0998,-3.02,0.0513,0.55,132.889,62.0
Butterfly,BTS,M,238862.0,6.0,1.0,4.0,0.0149,0.448,0.776,0.0,0.12,-4.498,0.0571,0.294,149.806,70.0
Whalien 52,BTS,M,243222.0,10.0,0.0,4.0,0.0992,0.585,0.93,2.54e-06,0.345,-2.707,0.241,0.735,90.029,60.0
Ma City,BTS,M,256687.0,6.0,0.0,4.0,0.000266,0.669,0.967,0.0,0.0777,-2.192,0.0957,0.807,122.008,58.0
Silver Spoon,BTS,M,233160.0,9.0,1.0,4.0,0.00102,0.65,0.879,0.0,0.0483,-2.886,0.0731,0.536,166.897,62.0
Skit: One Night in a Strange City,BTS,M,263130.0,3.0,1.0,4.0,0.772,0.574,0.499,0.0,0.42,-11.552,0.936,0.667,160.426,44.0
Autumn Leaves,BTS,M,267151.0,10.0,0.0,4.0,0.0136,0.619,0.802,0.0,0.127,-3.302,0.0423,0.307,104.985,59.0
Outro: House of Cards,BTS,M,177414.0,2.0,1.0,4.0,0.4,0.369,0.652,0.0,0.129,-4.718,0.0403,0.264,104.168,57.0
Intro: The Most Beautiful Moment In Life,BTS,M,124413.0,0.0,0.0,4.0,0.244,0.367,0.97,0.0,0.0653,-4.525,0.522,0.262,88.636,31.0
I Need U,BTS,M,211653.0,5.0,0.0,4.0,0.0228,0.474,0.879,0.0,0.29,-3.168,0.0675,0.713,158.363,52.0
Hold Me Tight,BTS,M,274613.0,6.0,1.0,4.0,0.0517,0.63,0.726,0.0,0.233,-5.187,0.257,0.353,139.998,47.0
Skit: Expectation!,BTS,M,147360.0,3.0,1.0,3.0,0.89,0.663,0.155,0.0,0.532,-21.225,0.643,0.677,97.489,24.0
Dope,BTS,M,240387.0,10.0,0.0,4.0,0.0436,0.629,0.891,0.0,0.423,-3.215,0.219,0.623,77.003,51.0
Boyz With Fun,BTS,M,245413.0,11.0,1.0,4.0,0.0761,0.699,0.959,0.0,0.341,-2.709,0.188,0.779,116.013,39.0
Converse High,BTS,M,211053.0,1.0,1.0,4.0,0.066,0.724,0.786,0.0,0.0478,-4.063,0.0911,0.797,98.0,40.0
Moving On,BTS,M,294360.0,0.0,1.0,4.0,0.0122,0.679,0.908,0.0,0.0865,-3.288,0.194,0.923,159.994,38.0
Outro: Love Is Not Over,BTS,M,143560.0,2.0,1.0,4.0,0.66,0.717,0.325,0.0,0.134,-8.147,0.0607,0.206,105.046,35.0
Intro: The Most Beautiful Moment in Life,BTS,M,123033.0,0.0,0.0,1.0,0.233,0.36,0.97,0.0,0.074,-4.422,0.535,0.257,86.893,52.0
I Need U,BTS,M,210987.0,5.0,0.0,4.0,0.0215,0.486,0.88,0.0,0.24,-3.097,0.0706,0.71,158.043,63.0
Hold Me Tight,BTS,M,274992.0,6.0,1.0,4.0,0.0511,0.631,0.728,0.0,0.171,-5.111,0.284,0.395,139.977,60.0
Skit: Expectation!,BTS,M,147694.0,3.0,0.0,3.0,0.893,0.653,0.167,0.0,0.502,-21.117,0.648,0.712,99.421,44.0
Dope,BTS,M,240021.0,10.0,0.0,4.0,0.0483,0.619,0.889,0.0,0.324,-3.108,0.219,0.622,77.058,64.0
Boyz with Fun,BTS,M,244156.0,1.0,0.0,4.0,0.0808,0.704,0.959,0.0,0.383,-2.607,0.192,0.751,116.024,62.0
Converse High,BTS,M,209715.0,1.0,1.0,4.0,0.0594,0.724,0.794,0.0,0.201,-3.982,0.0885,0.815,98.0,58.0
Moving On,BTS,M,292569.0,0.0,1.0,4.0,0.0128,0.684,0.914,0.0,0.0543,-3.199,0.203,0.929,159.986,56.0
Outro: Love Is Not Over,BTS,M,143863.0,2.0,1.0,4.0,0.632,0.719,0.335,0.0,0.131,-8.085,0.0595,0.219,105.062,56.0
Intro: What Am I to You,BTS,M,165440.0,0.0,1.0,4.0,0.417,0.321,0.901,0.0,0.408,-2.239,0.376,0.519,75.198,29.0
Danger,BTS,M,245107.0,1.0,1.0,4.0,0.000949,0.739,0.866,0.000378,0.321,-3.379,0.0818,0.388,112.012,47.0
War of Hormone,BTS,M,265573.0,9.0,1.0,4.0,0.107,0.614,0.992,0.0,0.443,-1.929,0.235,0.48,97.94,42.0
Hip Hop Phile,BTS,M,257280.0,1.0,1.0,4.0,0.169,0.792,0.872,0.0,0.256,-3.33,0.178,0.803,144.003,34.0
Let Me Know,BTS,M,256213.0,11.0,0.0,4.0,0.0112,0.612,0.822,0.0,0.102,-4.835,0.0812,0.165,136.084,38.0
Rain,BTS,M,265347.0,1.0,0.0,4.0,0.0261,0.711,0.847,0.0,0.347,-4.911,0.12,0.327,89.995,35.0
"BTS Cypher, Pt. 3: Killer",BTS,M,269013.0,7.0,1.0,4.0,0.0241,0.794,0.92,0.0,0.645,-3.033,0.32,0.684,140.02,35.0
Interlude: What Are You Doing Now,BTS,M,41733.0,4.0,1.0,4.0,0.0501,0.786,0.68,0.647,0.0479,-5.26,0.0846,0.516,82.994,28.0
Could You Turn off Your Cell Phone,BTS,M,234053.0,11.0,0.0,5.0,0.174,0.497,0.857,0.0,0.0892,-4.398,0.233,0.897,127.913,31.0
Embarrassed,BTS,M,241733.0,2.0,1.0,4.0,0.172,0.603,0.901,0.0,0.369,-3.033,0.27,0.558,84.605,37.0
24/7=Heaven,BTS,M,226400.0,2.0,1.0,4.0,0.0665,0.644,0.894,0.0,0.341,-2.992,0.121,0.563,96.058,36.0
Look Here,BTS,M,218867.0,7.0,1.0,4.0,0.0327,0.856,0.85,0.00149,0.0495,-4.571,0.0933,0.767,120.012,34.0
So 4 more,BTS,M,237307.0,8.0,1.0,4.0,0.00336,0.671,0.927,3.31e-06,0.35,-2.428,0.122,0.797,164.107,35.0
Outro: Do You Think It Makes Sense?,BTS,M,173413.0,1.0,1.0,4.0,0.0874,0.65,0.792,0.0,0.136,-4.333,0.041,0.56,103.038,32.0
Levanter -Japanese ver.-,Stray Kids,M,197440.0,9.0,1.0,4.0,0.00396,0.557,0.696,0.0,0.52,-4.864,0.0558,0.375,149.98,25.0
Double Knot -Japanese ver.-,Stray Kids,M,191440.0,5.0,0.0,4.0,0.0626,0.755,0.72,0.0,0.109,-4.975,0.392,0.562,147.026,22.0
My Pace -Japanese ver.-,Stray Kids,M,191413.0,11.0,0.0,4.0,0.0176,0.671,0.866,0.0,0.104,-4.167,0.269,0.692,154.991,27.0
Hellevator,Stray Kids,M,239133.0,7.0,0.0,4.0,0.0119,0.506,0.829,0.0,0.258,-2.109,0.163,0.353,78.183,22.0
BEWARE,Stray Kids,M,190653.0,1.0,1.0,4.0,0.0414,0.678,0.951,0.0,0.378,-2.649,0.213,0.404,98.028,29.0
Spread My Wings,Stray Kids,M,202120.0,11.0,0.0,4.0,0.15,0.68,0.945,0.0,0.238,-3.472,0.191,0.67,139.887,30.0
YAYAYA,Stray Kids,M,202667.0,9.0,0.0,4.0,0.108,0.674,0.938,0.0,0.0969,-1.687,0.223,0.696,132.041,29.0
District 9,Stray Kids,M,213587.0,9.0,1.0,4.0,0.017,0.646,0.954,5.92e-06,0.122,-1.899,0.18,0.512,90.017,22.0
Mirror,Stray Kids,M,222440.0,4.0,0.0,4.0,0.0134,0.589,0.849,0.0,0.121,-3.761,0.276,0.518,185.936,28.0
Grow Up,Stray Kids,M,213040.0,7.0,1.0,4.0,0.114,0.553,0.944,0.0,0.353,-3.254,0.249,0.625,174.096,20.0
My Pace,Stray Kids,M,190307.0,11.0,0.0,4.0,0.0413,0.676,0.82,0.0,0.127,-4.278,0.242,0.777,155.118,22.0
Voices,Stray Kids,M,202120.0,1.0,1.0,4.0,0.0205,0.667,0.872,0.0,0.35,-3.561,0.0729,0.297,149.969,32.0
Question,Stray Kids,M,184360.0,4.0,0.0,4.0,0.018,0.771,0.814,0.0,0.0808,-4.295,0.0789,0.532,98.027,29.0
M.I.A.,Stray Kids,M,211627.0,9.0,0.0,4.0,0.172,0.812,0.88,0.0,0.151,-4.141,0.172,0.652,139.998,29.0
Awkward Silence,Stray Kids,M,195320.0,10.0,0.0,4.0,0.0972,0.541,0.894,0.0,0.0974,-2.989,0.248,0.732,199.821,31.0
I am YOU,Stray Kids,M,206840.0,11.0,1.0,4.0,0.0133,0.65,0.862,0.0,0.144,-3.906,0.215,0.673,144.941,21.0
Get Cool,Stray Kids,M,196440.0,2.0,1.0,4.0,0.0742,0.802,0.853,0.0,0.28,-4.172,0.113,0.956,151.96,22.0
MIROH,Stray Kids,M,208667.0,9.0,1.0,4.0,0.00946,0.565,0.976,0.0,0.337,-3.199,0.132,0.45,126.067,23.0
Victory Song,Stray Kids,M,198053.0,7.0,1.0,4.0,0.00654,0.736,0.812,0.0,0.159,-3.997,0.107,0.52,103.034,21.0
Boxer,Stray Kids,M,202293.0,2.0,1.0,4.0,0.00716,0.642,0.902,0.0,0.185,-3.471,0.131,0.46,104.897,30.0
Chronosaurus,Stray Kids,M,200440.0,2.0,1.0,4.0,0.284,0.657,0.879,0.0,0.28,-2.733,0.0513,0.472,99.973,28.0
19,Stray Kids,M,206440.0,10.0,1.0,4.0,0.439,0.549,0.668,0.0,0.0972,-4.472,0.33,0.37,103.68,28.0
Side Effects,Stray Kids,M,195253.0,2.0,1.0,3.0,0.0223,0.596,0.98,0.0,0.0667,-1.667,0.168,0.143,97.454,20.0
TMT,Stray Kids,M,209027.0,2.0,1.0,4.0,0.0657,0.8,0.839,0.0,0.0555,-3.921,0.0639,0.557,131.994,30.0
Double Knot,Stray Kids,M,191547.0,5.0,0.0,4.0,0.0541,0.752,0.738,0.0,0.526,-5.341,0.365,0.585,146.94,19.0
Levanter,Stray Kids,M,197707.0,9.0,1.0,4.0,0.00753,0.557,0.695,0.0,0.534,-4.699,0.0597,0.358,149.921,18.0
Astronaut,Stray Kids,M,180053.0,1.0,0.0,4.0,0.0189,0.739,0.84,0.0,0.183,-6.555,0.104,0.627,120.049,20.0
Hellevator,Stray Kids,M,239133.0,7.0,0.0,4.0,0.0119,0.506,0.829,0.0,0.258,-2.109,0.163,0.353,78.183,54.0
BEWARE,Stray Kids,M,190653.0,1.0,1.0,4.0,0.0414,0.678,0.951,0.0,0.378,-2.649,0.213,0.404,98.028,51.0
Spread My Wings,Stray Kids,M,202120.0,11.0,0.0,4.0,0.15,0.68,0.945,0.0,0.238,-3.472,0.191,0.67,139.887,52.0
YAYAYA,Stray Kids,M,202667.0,9.0,0.0,4.0,0.108,0.674,0.938,0.0,0.0969,-1.687,0.223,0.696,132.041,51.0
District 9,Stray Kids,M,213587.0,9.0,1.0,4.0,0.017,0.646,0.954,5.92e-06,0.122,-1.899,0.18,0.512,90.017,52.0
Mirror,Stray Kids,M,222440.0,4.0,0.0,4.0,0.0134,0.589,0.849,0.0,0.121,-3.761,0.276,0.518,185.936,50.0
Grow Up,Stray Kids,M,213040.0,7.0,1.0,4.0,0.114,0.553,0.944,0.0,0.353,-3.254,0.249,0.625,174.096,51.0
My Pace,Stray Kids,M,190307.0,11.0,0.0,4.0,0.0413,0.676,0.82,0.0,0.127,-4.278,0.242,0.777,155.118,53.0
Voices,Stray Kids,M,202120.0,1.0,1.0,4.0,0.0205,0.667,0.872,0.0,0.35,-3.561,0.0729,0.297,149.969,53.0
Question,Stray Kids,M,184360.0,4.0,0.0,4.0,0.018,0.771,0.814,0.0,0.0808,-4.295,0.0789,0.532,98.027,50.0
M.I.A.,Stray Kids,M,211627.0,9.0,0.0,4.0,0.172,0.812,0.88,0.0,0.151,-4.141,0.172,0.652,139.998,51.0
Awkward Silence,Stray Kids,M,195320.0,10.0,0.0,4.0,0.0972,0.541,0.894,0.0,0.0974,-2.989,0.248,0.732,199.821,52.0
I am YOU,Stray Kids,M,206840.0,11.0,1.0,4.0,0.0133,0.65,0.862,0.0,0.144,-3.906,0.215,0.673,144.941,52.0
Get Cool,Stray Kids,M,196440.0,2.0,1.0,4.0,0.0742,0.802,0.853,0.0,0.28,-4.172,0.113,0.956,151.96,52.0
MIROH,Stray Kids,M,208667.0,9.0,1.0,4.0,0.00946,0.565,0.976,0.0,0.337,-3.199,0.132,0.45,126.067,52.0
Victory Song,Stray Kids,M,198053.0,7.0,1.0,4.0,0.00654,0.736,0.812,0.0,0.159,-3.997,0.107,0.52,103.034,51.0
Boxer,Stray Kids,M,202293.0,2.0,1.0,4.0,0.00716,0.642,0.902,0.0,0.185,-3.471,0.131,0.46,104.897,50.0
Chronosaurus,Stray Kids,M,200440.0,2.0,1.0,4.0,0.284,0.657,0.879,0.0,0.28,-2.733,0.0513,0.472,99.973,50.0
19,Stray Kids,M,206440.0,10.0,1.0,4.0,0.439,0.549,0.668,0.0,0.0972,-4.472,0.33,0.37,103.68,49.0
Side Effects,Stray Kids,M,195253.0,2.0,1.0,3.0,0.0223,0.596,0.98,0.0,0.0667,-1.667,0.168,0.143,97.454,51.0
TMT,Stray Kids,M,209027.0,2.0,1.0,4.0,0.0657,0.8,0.839,0.0,0.0555,-3.921,0.0639,0.557,131.994,49.0
Double Knot,Stray Kids,M,191547.0,5.0,0.0,4.0,0.0541,0.752,0.738,0.0,0.526,-5.341,0.365,0.585,146.94,51.0
Levanter,Stray Kids,M,197707.0,9.0,1.0,4.0,0.00753,0.557,0.695,0.0,0.534,-4.699,0.0597,0.358,149.921,50.0
Astronaut,Stray Kids,M,180053.0,1.0,0.0,4.0,0.0189,0.739,0.84,0.0,0.183,-6.555,0.104,0.627,120.049,50.0
STOP,Stray Kids,M,189513.0,4.0,0.0,4.0,0.158,0.769,0.862,0.000569,0.193,-6.213,0.121,0.196,128.025,30.0
Double Knot,Stray Kids,M,189771.0,5.0,0.0,4.0,0.0634,0.754,0.734,0.0,0.467,-5.352,0.349,0.579,146.954,40.0
Levanter,Stray Kids,M,195656.0,9.0,1.0,4.0,0.00747,0.559,0.695,0.0,0.545,-4.722,0.0518,0.349,149.964,41.0
Booster,Stray Kids,M,220649.0,1.0,1.0,4.0,0.0724,0.657,0.877,0.0,0.349,-4.929,0.0923,0.812,150.05,30.0
Astronaut,Stray Kids,M,179009.0,6.0,0.0,4.0,0.0269,0.751,0.843,0.0,0.187,-6.539,0.0992,0.647,120.053,34.0
Sunshine,Stray Kids,M,222284.0,0.0,0.0,4.0,0.0922,0.726,0.646,0.0,0.159,-5.953,0.0588,0.518,143.026,31.0
You Can STAY,Stray Kids,M,208444.0,8.0,1.0,4.0,0.0153,0.73,0.757,0.0,0.111,-7.042,0.0542,0.356,94.986,30.0
STOP,Stray Kids,M,189513.0,4.0,0.0,4.0,0.158,0.769,0.862,0.000569,0.193,-6.213,0.121,0.196,128.025,55.0
Double Knot,Stray Kids,M,189771.0,5.0,0.0,4.0,0.0634,0.754,0.734,0.0,0.467,-5.352,0.349,0.579,146.954,59.0
Levanter,Stray Kids,M,195656.0,9.0,1.0,4.0,0.00747,0.559,0.695,0.0,0.545,-4.722,0.0518,0.349,149.964,66.0
Booster,Stray Kids,M,220649.0,1.0,1.0,4.0,0.0724,0.657,0.877,0.0,0.349,-4.929,0.0923,0.812,150.05,55.0
Astronaut,Stray Kids,M,179009.0,6.0,0.0,4.0,0.0269,0.751,0.843,0.0,0.187,-6.539,0.0992,0.647,120.053,58.0
Sunshine,Stray Kids,M,222284.0,0.0,0.0,4.0,0.0849,0.725,0.655,0.0,0.161,-5.766,0.0656,0.493,143.019,59.0
You Can STAY,Stray Kids,M,208444.0,8.0,1.0,4.0,0.0153,0.73,0.757,0.0,0.111,-7.042,0.0542,0.356,94.986,57.0
Hellevator,Stray Kids,M,240000.0,10.0,1.0,4.0,0.00816,0.515,0.816,0.0,0.351,-2.33,0.165,0.288,78.169,39.0
District 9,Stray Kids,M,211763.0,9.0,1.0,4.0,0.0124,0.529,0.956,3.6e-06,0.119,-1.889,0.265,0.559,179.989,33.0
My Pace,Stray Kids,M,189325.0,11.0,0.0,4.0,0.0569,0.682,0.831,0.0,0.0927,-4.234,0.253,0.785,155.119,40.0
I am YOU,Stray Kids,M,204239.0,11.0,1.0,4.0,0.0158,0.655,0.821,0.0,0.131,-4.741,0.187,0.672,144.977,35.0
Get Cool,Stray Kids,M,194758.0,2.0,1.0,4.0,0.0893,0.804,0.854,0.0,0.27,-4.194,0.0915,0.9,151.955,40.0
MIROH,Stray Kids,M,207617.0,9.0,1.0,4.0,0.00911,0.563,0.979,0.0,0.249,-3.104,0.104,0.503,126.063,45.0
Victory Song,Stray Kids,M,196384.0,7.0,1.0,4.0,0.00426,0.757,0.734,0.0,0.183,-4.535,0.0783,0.499,103.046,32.0
Side Effects,Stray Kids,M,193853.0,2.0,1.0,4.0,0.0215,0.443,0.978,0.0,0.0545,-1.736,0.145,0.114,129.987,38.0
Grow Up,Stray Kids,M,210965.0,7.0,1.0,4.0,0.193,0.557,0.935,0.0,0.328,-2.701,0.322,0.512,174.066,30.0
Road Not Taken,Stray Kids,M,95762.0,4.0,0.0,4.0,0.272,0.718,0.913,0.00112,0.116,-4.195,0.129,0.322,128.088,53.0
Side Effects,Stray Kids,M,193853.0,2.0,1.0,4.0,0.0215,0.443,0.978,0.0,0.0545,-1.736,0.145,0.114,129.987,65.0
TMT,Stray Kids,M,207383.0,2.0,1.0,4.0,0.055,0.798,0.852,0.0,0.0821,-3.225,0.0593,0.6,131.98,53.0
Mixtape#1,Stray Kids,M,252934.0,3.0,1.0,4.0,0.0338,0.796,0.759,0.0,0.0805,-3.613,0.081,0.498,99.992,53.0
Mixtape#2,Stray Kids,M,291845.0,3.0,1.0,4.0,0.525,0.602,0.504,0.0,0.219,-5.56,0.0707,0.484,173.958,55.0
